Word,3singular,Present Participle,Simple Past,Past Participle,Initial
interact,interacts,interacting,interacted,interacted,i
heat,heats,heating,heated,heated,h
devise,devises,devising,devised,devised,d
govern,governs,governing,governed,governed,g
apologise,apologises,apologising,apologised,apologised,a
expose,exposes,exposing,exposed,exposed,e
embrace,embraces,embracing,embraced,embraced,e
comfort,comforts,comforting,comforted,comforted,c
seize,seizes,seizing,seized,seized,s
melt,melts,melting,melted,melted,m
supplement,supplements,supplementing,supplemented,supplemented,s
lean,leans,leaning,leaned,leaned,l
exert,exerts,exerting,exerted,exerted,e
resemble,resembles,resembling,resembled,resembled,r
abolish,abolishes,abolishing,abolished,abolished,a
wed,weds,wedding,wed,wed,w
arrest,arrests,arresting,arrested,arrested,a
crack,cracks,cracking,cracked,cracked,c
suppress,suppresses,suppressing,suppressed,suppressed,s
guard,guards,guarding,guarded,guarded,g
surprise,surprises,surprising,surprised,surprised,s
hesitate,hesitates,hesitating,hesitated,hesitated,h
load,loads,loading,loaded,loaded,l
swallow,swallows,swallowing,swallowed,swallowed,s
initiate,initiates,initiating,initiated,initiated,i
float,floats,floating,floated,floated,f
effect,effects,effecting,effected,effected,e
manipulate,manipulates,manipulating,manipulated,manipulated,m
deter,deters,deterring,deterred,deterred,d
associate,associates,associating,associated,associated,a
administer,administers,administering,administered,administered,a
murder,murders,murdering,murdered,murdered,m
persist,persists,persisting,persisted,persisted,p
greet,greets,greeting,greeted,greeted,g
tear,tears,tearing,tore,torn,t
hunt,hunts,hunting,hunted,hunted,h
spoil,spoils,spoiling,spoiled,spoiled,s
line,lines,lining,lined,lined,l
bless,blesses,blessing,blest,blest,b
ascertain,ascertains,ascertaining,ascertained,ascertained,a
penetrate,penetrates,penetrating,penetrated,penetrated,p
multiply,multiplies,multiplying,multiplied,multiplied,m
merge,merges,merging,merged,merged,m
coach,coaches,coaching,coached,coached,c
drain,drains,draining,drained,drained,d
suffice,suffices,sufficing,sufficed,sufficed,s
presume,presumes,presuming,presumed,presumed,p
fish,fishes,fishing,fished,fished,f
shop,shops,shopping,shopped,shopped,s
race,races,racing,raced,raced,r
honour,honours,honouring,honoured,honoured,h
freeze,freezes,freezing,froze,frozen,f
cure,cures,curing,cured,cured,c
revive,revives,reviving,revived,revived,r
swap,swaps,swapping,swapped,swapped,s
endure,endures,enduring,endured,endured,e
chase,chases,chasing,chased,chased,c
consume,consumes,consuming,consumed,consumed,c
insert,inserts,inserting,inserted,inserted,i
anger,angers,angering,angered,angered,a
await,awaits,awaiting,awaited,awaited,a
minister,ministers,ministering,ministered,ministered,m
drift,drifts,drifting,drifted,drifted,d
substitute,substitutes,substituting,substituted,substituted,s
stem,stems,stemming,stemmed,stemmed,s
surrender,surrenders,surrendering,surrendered,surrendered,s
wind,winds,winding,winded,winded,w
contract,contracts,contracting,contracted,contracted,c
machine,machines,machining,machined,machined,m
differentiate,differentiates,differentiating,differentiated,differentiated,d
advertise,advertises,advertising,advertised,advertised,a
reconcile,reconciles,reconciling,reconciled,reconciled,r
project,projects,projecting,projected,projected,p
snap,snaps,snapping,snapped,snapped,s
damn,damns,damning,damned,damned,d
bake,bakes,baking,baked,baked,b
top,tops,topping,topped,topped,t
fold,folds,folding,folded,folded,f
concede,concedes,conceding,conceded,conceded,c
renew,renews,renewing,renewed,renewed,r
formulate,formulates,formulating,formulated,formulated,f
confuse,confuses,confusing,confused,confused,c
sweep,sweeps,sweeping,swept,swept,s
cheer,cheers,cheering,cheered,cheered,c
steer,steers,steering,steered,steered,s
base,bases,basing,based,based,b
indulge,indulges,indulging,indulged,indulged,i
decrease,decreases,decreasing,decreased,decreased,d
reserve,reserves,reserving,reserved,reserved,r
host,hosts,hosting,hosted,hosted,h
evolve,evolves,evolving,evolved,evolved,e
foster,fosters,fostering,fostered,fostered,f
discourage,discourages,discouraging,discouraged,discouraged,d
curb,curbs,curbing,curbed,curbed,c
allocate,allocates,allocating,allocated,allocated,a
supervise,supervises,supervising,supervised,supervised,s
fade,fades,fading,faded,faded,f
endorse,endorses,endorsing,endorsed,endorsed,e
condemn,condemns,condemning,condemned,condemned,c
book,books,booking,booked,booked,b
tip,tips,tipping,tipped,tipped,t
reform,reforms,reforming,reformed,reformed,r
complement,complements,complementing,complemented,complemented,c
punish,punishes,punishing,punished,punished,p
bang,bangs,banging,banged,banged,b
outline,outlines,outlining,outlined,outlined,o
diminish,diminishes,diminishing,diminished,diminished,d
prevail,prevails,prevailing,prevailed,prevailed,p
leap,leaps,leaping,leaped,leaped,l
wrap,wraps,wrapping,wrapped,wrapped,w
compromise,compromises,compromising,compromised,compromised,c
collapse,collapses,collapsing,collapsed,collapsed,c
safeguard,safeguards,safeguarding,safeguarded,safeguarded,s
inhibit,inhibits,inhibiting,inhibited,inhibited,i
scream,screams,screaming,screamed,screamed,s
date,dates,dating,dated,dated,d
delete,deletes,deleting,deleted,deleted,d
attain,attains,attaining,attained,attained,a
dislike,dislikes,disliking,disliked,disliked,d
conceive,conceives,conceiving,conceived,conceived,c
shine,shines,shining,shone,shone,s
dictate,dictates,dictating,dictated,dictated,d
unite,unites,uniting,united,united,u
import,imports,importing,imported,imported,i
spring,springs,springing,sprang,sprung,s
rebuild,rebuilds,rebuilding,rebuilt,rebuilt,r
flourish,flourishes,flourishing,flourished,flourished,f
criticise,criticises,criticising,criticised,criticised,c
boil,boils,boiling,boiled,boiled,b
flee,flees,fleeing,fled,fled,f
commence,commences,commencing,commenced,commenced,c
praise,praises,praising,praised,praised,p
draft,drafts,drafting,drafted,drafted,d
park,parks,parking,parked,parked,p
discriminate,discriminates,discriminating,discriminated,discriminated,d
track,tracks,tracking,tracked,tracked,t
enclose,encloses,enclosing,enclosed,enclosed,e
interview,interviews,interviewing,interviewed,interviewed,i
tighten,tightens,tightening,tightened,tightened,t
price,prices,pricing,priced,priced,p
colour,colours,colouring,coloured,coloured,c
venture,ventures,venturing,ventured,ventured,v
speculate,speculates,speculating,speculated,speculated,s
depart,departs,departing,departed,departed,d
bury,buries,burying,buried,buried,b
interrupt,interrupts,interrupting,interrupted,interrupted,i
disguise,disguises,disguising,disguised,disguised,d
elect,elects,electing,elected,elected,e
withstand,withstands,withstanding,withstood,withstood,w
discharge,discharges,discharging,discharged,discharged,d
restrain,restrains,restraining,restrained,restrained,r
thrive,thrives,thriving,throve,thriven,t
echo,echoes,echoing,echoed,echoed,e
divert,diverts,diverting,diverted,diverted,d
fry,fries,frying,fried,fried,f
dissolve,dissolves,dissolving,dissolved,dissolved,d
edit,edits,editing,edited,edited,e
assemble,assembles,assembling,assembled,assembled,a
ruin,ruins,ruining,ruined,ruined,r
accelerate,accelerates,accelerating,accelerated,accelerated,a
envisage,envisages,envisaging,envisaged,envisaged,e
congratulate,congratulates,congratulating,congratulated,congratulated,c
retrieve,retrieves,retrieving,retrieved,retrieved,r
descend,descends,descending,descended,descended,d
suspend,suspends,suspending,suspended,suspended,s
experiment,experiments,experimenting,experimented,experimented,e
ship,ships,shipping,shipped,shipped,s
frighten,frightens,frightening,frightened,frightened,f
fool,fools,fooling,fooled,fooled,f
'ave,'as,'avin','ad,'ad,'
inspire,inspires,inspiring,inspired,inspired,i
heal,heals,healing,hole,holen,h
master,masters,mastering,mastered,mastered,m
terminate,terminates,terminating,terminated,terminated,t
amend,amends,amending,amended,amended,a
scratch,scratches,scratching,scratched,scratched,s
embark,embarks,embarking,embarked,embarked,e
entail,entails,entailing,entailed,entailed,e
execute,executes,executing,executed,executed,e
consolidate,consolidates,consolidating,consolidated,consolidated,c
cash,cashes,cashing,cashed,cashed,c
round,rounds,rounding,rounded,rounded,r
isolate,isolates,isolating,isolated,isolated,i
warrant,warrants,warranting,warranted,warranted,w
signal,signals,signalling,signalled,signalled,s
weaken,weakens,weakening,weakened,weakened,w
pin,pins,pinning,pinned,pinned,p
march,marches,marching,marched,marched,m
desire,desires,desiring,desired,desired,d
widen,widens,widening,widened,widened,w
level,levels,leveling,leveled,leveled,l
chat,chats,chatting,chatted,chatted,c
board,boards,boarding,boarded,boarded,b
contend,contends,contending,contended,contended,c
invent,invents,inventing,invented,invented,i
resource,resources,resourcing,resourced,resourced,r
manufacture,manufactures,manufacturing,manufactured,manufactured,m
seal,seals,sealing,sealed,sealed,s
reconsider,reconsiders,reconsidering,reconsidered,reconsidered,r
suck,sucks,sucking,sucked,sucked,s
picture,pictures,picturing,pictured,pictured,p
crash,crashes,crashing,crashed,crashed,c
transport,transports,transporting,transported,transported,t
plug,plugs,plugging,plugged,plugged,p
assign,assigns,assigning,assigned,assigned,a
enquire,enquires,enquiring,enquired,enquired,e
campaign,campaigns,campaigning,campaigned,campaigned,c
trap,traps,trapping,trapped,trapped,t
surround,surrounds,surrounding,surrounded,surrounded,s
debate,debates,debating,debated,debated,d
upgrade,upgrades,upgrading,upgraded,upgraded,u
decorate,decorates,decorating,decorated,decorated,d
confer,confers,conferring,conferred,conferred,c
accumulate,accumulates,accumulating,accumulated,accumulated,a
profit,profits,profiting,profited,profited,p
file,files,filing,filed,filed,f
inherit,inherits,inheriting,inherited,inherited,i
disrupt,disrupts,disrupting,disrupted,disrupted,d
contrast,contrasts,contrasting,contrasted,contrasted,c
chuck,chucks,chucking,chucked,chucked,c
tick,ticks,ticking,ticked,ticked,t
plead,pleads,pleading,pleaded,pleaded,p
dip,dips,dipping,dipped,dipped,d
subscribe,subscribes,subscribing,subscribed,subscribed,s
educate,educates,educating,educated,educated,e
divorce,divorces,divorcing,divorced,divorced,d
spin,spins,spinning,spun,spun,s
row,rows,rowing,rowed,rowed,r
obscure,obscures,obscuring,obscured,obscured,o
creep,creeps,creeping,crept,crept,c
interest,interests,interesting,interested,interested,i
overlook,overlooks,overlooking,overlooked,overlooked,o
twist,twists,twisting,twisted,twisted,t
mature,matures,maturing,matured,matured,m
blend,blends,blending,blended,blended,b
revise,revises,revising,revised,revised,r
attribute,attributes,attributing,attributed,attributed,a
explode,explodes,exploding,exploded,exploded,e
dwell,dwells,dwelling,dwelt,dwelt,d
drown,drowns,drowning,drowned,drowned,d
alleviate,alleviates,alleviating,alleviated,alleviated,a
strip,strips,stripping,stripped,stripped,s
grade,grades,grading,graded,graded,g
revert,reverts,reverting,reverted,reverted,r
value,values,valuing,valued,valued,v
award,awards,awarding,awarded,awarded,a
strive,strives,striving,strove,striven,s
notify,notifies,notifying,notified,notified,n
remedy,remedies,remedying,remedied,remedied,r
accuse,accuses,accusing,accused,accused,a
instruct,instructs,instructing,instructed,instructed,i
spill,spills,spilling,spilled,spilled,s
strain,strains,straining,strained,strained,s
comprehend,comprehends,comprehending,comprehended,comprehended,c
soften,softens,softening,softened,softened,s
postpone,postpones,postponing,postponed,postponed,p
wave,waves,waving,waved,waved,w
bounce,bounces,bouncing,bounced,bounced,b
stock,stocks,stocking,stocked,stocked,s
position,positions,positioning,positioned,positioned,p
insure,insures,insuring,insured,insured,i
adhere,adheres,adhering,adhered,adhered,a
cling,clings,clinging,clung,clung,c
summon,summons,summoning,summoned,summoned,s
pause,pauses,pausing,paused,paused,p
empty,empties,emptying,emptied,emptied,e
classify,classifies,classifying,classified,classified,c
