All the intelligent work was done by Cavor.	Cavor did All the intelligent work . 
 After Christine had gone, comforted and betraying her shy eagerness to get back to Ambrose, Madeline was haunted by the look in the girl's eyes, and her words.	  After Christine had gone , comforted and betraying her shy eagerness to get back to Ambrose , the look in the girl 's eyes haunted Madeline , and her words . 
 Madeline's deep slumbers were disturbed by a pounding upon the wall, and then by Florence's crying out in answer to a call:  “Get up!	  a pounding upon the wall disturbed Madeline 's deep slumbers , and then by Florence 's crying out in answer to a call :   “ Get up ! 
This was hidden by low, rolling ridges which were quite close by.	low , rolling ridges which were quite close by hid This . 
They were now absolutely nonplussed by the singular character of American cowboys.	the singular character of American cowboys now absolutely nonplussed them . 
 Madeline was awakened by Majesty's well-known whistle and pounding on the gravel.	  Majesty 's well - known whistle awakened Madeline and pounding on the gravel . 
Her face was hidden by a limp and lopsided hat.	a limp and lopsided hat hid Her face . 
The men were more visibly affected by the mountain air than the women.	the mountain air than the women more visibly affected The men . 
If there were a leveling process here it was made by her friends coming down to meet the Westerners.	If there were a leveling process here her friends made it coming down to meet the Westerners . 
Either he was exalted to heroic heights by this knowledge or he made it appear so.	Either this knowledge exalted to heroic heights him or he made it appear so . 
She was swayed by a strong, beating pride, and her instinctive woman's faith told her that he could not stoop to such dishonor.	a strong , beating pride swayed her , and her instinctive woman 's faith told her that he could not stoop to such dishonor . 
The big tent was brightly lighted by several lanterns.	several lanterns brightly lit The big tent . 
Indeed, when he came to notice it, he was dumfounded by the mirth.	Indeed , when he came to notice it , the mirth dumfounded him . 
 “After ten days or more of this I was worn out by loss of sleep.	  “ After ten days or more of this loss of sleep wore out me . 
One had been frightened by an umbrella; one had been frightened by a blast from a cow-horn; another had been frightened by a native who in running from one lion ran right at the other which he had not seen.	One had been frightened by an umbrella ; one had been frightened by a blast from a cow - horn ; a native who in running from one lion ran right at the other which he had not seen had frightened another . 
For the Apache the mountain slopes were haunted by the spirit of an Indian maiden who had been false to her tribe and forever accursed.	For the Apache the spirit of an Indian maiden who had been false to her tribe and forever accursed haunted the mountain slopes . 
For the Mexican the mountain slopes were haunted by the spirit of the false padre who rolled stones upon the heads of those adventurers who sought to find his grave and his accursed gold.”	For the Mexican the spirit of the false padre who rolled stones upon the heads of those adventurers who sought to find his grave and his accursed gold haunted the mountain slopes . ” 
 Presently the woman was joined by a tall man who carried a package, which he gave to her.	  Presently a tall man who carried a package , which he gave to she joined the woman . 
Swiftly, with regard only for life and limb, Madeline, Helen, and Christine were lowered by lassoes and half carried down to the level.	Swiftly , with regard only for life and limb , Madeline , Helen , and lassoes and half lowered Christine carried down to the level . 
Madeline was refreshed by the cooling of the air.	the cooling of the air refreshed Madeline . 
And during one of those intervals the silence was broken by sharp rifle-shots.	And during one of those intervals sharp rifle - shots broke the silence . 
 Madeline's dignity and self-possession had been disturbed by Stewart's importunity.	  Stewart 's importunity had disturbed Madeline 's dignity and self - possession . 
 Suddenly Madeline was transfixed by a terrible sound.	  Suddenly a terrible sound transfixed Madeline . 
She was haunted by Monty Price's terrible smile.	Monty Price 's terrible smile haunted her . 
Their entrance will be opposed by 1,000 Maderista volunteers, who are reported to be waiting the rebel invasion.	1,000 Maderista volunteers , who are reported to be waiting the rebel invasion will oppose Their entrance . 
Finally progress to the south was obstructed by impassable gullies where the wash plunged into the head of a canyon.	impassable gullies where the wash plunged into the head of a canyon obstructed Finally progress to the south . 
This was broken by a slight jar, and then above the hum and roar rose a cowboy yell.	a slight jar broke This , and then above the hum and roar rose a cowboy yell . 
The plank was made by splitting trees, until intercourse with   the whites enabled them to obtain sawed lumber.	splitting trees made The plank , until intercourse with    the whites enabled them to obtain sawed lumber . 
The deceased is only accompanied by two or three   squaws, or enough to perform the little labor bestowed upon the   burial.	two or three    squaws , or enough to perform the little labor bestowed upon the    burial only accompany The deceased . 
   The garden is approached by a well-constructed, private road, all   access to which, except to Parsees, is barred by strong iron gates.	    a well - constructed , private road approaches The garden , all    access to which , except to Parsees , is barred by strong iron gates . 
   Each circle of open stone coffins is divided from the next by a   pathway, so that there are three circular pathways, the last   encircling the central well, and these three pathways are crossed by   another pathway conducting from the solitary door which admits the   corpse-bearers from the exterior.	    a    pathway divides from the next Each circle of open stone coffins , so that there are three circular pathways , the last    encircling the central well , and these three pathways are crossed by    another pathway conducting from the solitary door which admits the    corpse - bearers from the exterior . 
They are   followed by the mourners at a distance of at least 30 feet, in   pairs, also dressed in white, and each couple joined by holding a   white handkerchief between them.	the mourners    follow them at a distance of at least 30 feet , in    pairs , also dressed in white , and each couple joined by holding a    white handkerchief between they . 
The graves of the chiefs are surrounded   by neat wooden palings, each pale ornamented with a feather from the   tail of the bald eagle.	neat wooden palings surround    The graves of the chiefs , each pale ornamented with a feather from the    tail of the bald eagle . 
Baskets are usually staked down by the side,   according to the wealth or popularity of the individual, and   sometimes other articles for ornament or use are suspended over   them.	the side usually stakes down Baskets ,    according to the wealth or popularity of the individual , and    sometimes other articles for ornament or use are suspended over    they . 
   Cremation has never been practiced by these Indians.	    these Indians never have practiced Cremation . 
   I am informed by many of them that it was a habit, before their   outbreak, for some to carry the body of a near relative whom they   held in great respect with them on their moves, for a greater or   lesser time, often as long as two or three years before burial.	    many of they informs me that it was a habit , before their    outbreak , for some to carry the body of a near relative whom they    held in great respect with they on their moves , for a greater or    lesser time , often as long as two or three years before burial . 
  The graves are increased by additions from time to time.	   additions from time to time increase The graves . 
   The excavations had been carried on by himself, assisted by Mr.   Edwin Curtiss, for over two years, for the benefit of the Peabody   Museum at Cambridge.	    himself had carried on The excavations , assisted by Mr.    Edwin Curtiss , for over two years , for the benefit of the Peabody    Museum at Cambridge . 
* * * Mr. Putnam’s remarks were illustrated by drawings of   several hundred objects obtained from the graves and mounds,   particularly to show the great variety of articles of pottery and   several large and many unique forms of implements of chipped flint.	*   *   * drawings of    several hundred objects obtained from the graves and mounds , illustrated Mr. Putnam ’s remarks    particularly to show the great variety of articles of pottery and    several large and many unique forms of implements of chipped flint . 
In it have been found, besides these skeletons, stone axes and   knives, and several ornaments, with holes through them, by means of   which, with a cord passing through these perforations, they could be   worn by their owners.	In means of    which , with a cord passing through these perforations , they could be    worn by their owners have found , besides these skeletons , stone axes and    knives , and several ornaments , with holes through they , it . 
 The mounds of Sterling County, Illinois, are described by W. C. Holbrook[20] as follows:    I recently made an examination of a few of the many Indian mounds   found on Rock River, about two miles above Sterling, Ill.	  W. C. describes The mounds of Sterling County , Illinois , Holbrook[20 ] as follows :     I recently made an examination of a few of the many Indian mounds    found on Rock River , about two miles above Sterling , Ill. 
It was covered by a natural growth of vegetable mold   and sod, the thickness of which was about 10 inches.	a natural growth of vegetable mold    and sod , covered It the thickness of which was about 10 inches . 
This view is further supported by the fact that only   the shafts of the long bones are found, the expanded extremities,   which would be most easily consumed, having disappeared; also, by   the fact that no bones of children were found.	the fact that only    the shafts of the long bones the expanded extremities ,    which would be most easily consumed , having disappeared ; also , by    the fact that no bones of children were found are found , further supports This view . 
This view is supported by the fact   that they were all males, and	the fact supports This view    that they were all males , and 
A much larger amount of paint was found by the side of this   than the first.	the side of this    found A   much larger amount of paint than the first . 
The top of   the cranium had been moved by the plow.	the plow had moved The top of    the cranium . 
 Natural or artificial holes in the ground, caverns, and fissures in rocks have been used as places of deposit for the dead since the earliest periods of time, and are used up to the present day by not only the American Indians, but by peoples noted for their mental elevation and civilization, our cemeteries furnishing numerous specimens of artificial or partly artificial caves.	  peoples noted for their mental elevation and civilization have used as places of deposit for the dead since the earliest periods of time , and are used up to the present day by not only the American Indians , but Natural or artificial holes in the ground , caverns , and fissures in rocks , our cemeteries furnishing numerous specimens of artificial or partly artificial caves . 
Great anxiety was exhibited by the Indians to have the employes   perform the service as expeditiously as possible.	the Indians exhibited Great anxiety to have the employes    perform the service as expeditiously as possible . 
It is said by others they believed that so long as the body was preserved from corruption the soul remained in it.	others say It they believed that so long as the body was preserved from corruption the soul remained in it . 
  This conclusion is strengthened by the consideration that such   manufactures are not prepared by the actual and resident red men of   the present day.	   the consideration that such    manufactures are not prepared by the actual and resident red men of    the present day strengthens This conclusion . 
This contribution to   science was secured by Captain Henning, an agent of the company who   has long resided at Ounalaska.	Captain Henning , an agent of the company who    has long resided at Ounalaska secured This contribution to    science . 
 The burial urns of New Mexico are thus described by E. A. Barber:[39]    Burial-urns * * * comprise vessels or ollas without handles, for   cremation, usually being from 10 to 15 inches in height, with broad,   open mouths, and made of coarse clay, with a laminated exterior   (partially or entirely ornamented).	  E. A. Barber:[39 ]     Burial - urns *   *   * comprise vessels or ollas without handles thus describes The burial urns of New Mexico , for    cremation , usually being from 10 to 15 inches in height , with broad ,    open mouths , and made of coarse clay , with a laminated exterior    ( partially or entirely ornamented ) . 
The part above ground was then covered by a   buffalo robe, and a trench about eight feet square was then dug   about the grave.	a    buffalo robe then covered The part above ground , and a trench about eight feet square was then dug    about the grave . 
   The mourning is principally done by the relatives and immediate   friends, although any one of their own tribe, or one of another   tribe, who chances to be passing, will stop and moan with the   relatives.	    the relatives and immediate    friends principally do The mourning , although any one of their own tribe , or one of another    tribe , who chances to be passing , will stop and moan with the    relatives . 
 Another myth regarding cremation is given by Adam Johnston in Schoolcraft[49] and relates to the Bonaks, or root-diggers:    The first Indians that lived were coyotes.	  Adam Johnston gives Another myth regarding cremation in Schoolcraft[49 ] and relates to the Bonaks , or root - diggers :     The first Indians that lived were coyotes . 
This is generally done by a squaw, who takes pinole in her   blanket, repairs to the scene of the incremation, or to places   hallowed by the memory of the dead, when she scatters it over the   ground, meantime rocking her body violently to and fro in a dance   and chanting the following chorous:      Hel-lel-li-ly,     Hel-lel-lo,     Hel-lel-lu.	a squaw , who takes pinole in her    blanket generally does This , repairs to the scene of the incremation , or to places    hallowed by the memory of the dead , when she scatters it over the    ground , meantime rocking her body violently to and fro in a dance    and chanting the following chorous :       Hel - lel - li - ly ,      Hel - lel - lo ,      Hel - lel - lu . 
 This account is furnished by Gen. Charles H. Tompkins, deputy quartermaster-general, United States Army, who witnessed the burial above related, and is the more interesting as it seems to be the only well-authenticated case on record, although E. A. Barber[58] has described what may possibly have been a case of cremation like the one above noted:    A very singular case of aboriginal burial was brought to my notice   recently by Mr. William Klingbeil, of Philadelphia.	  Gen. Charles H. Tompkins , deputy quartermaster - general , United States Army , who witnessed the burial above related furnish This account , and is the more interesting as it seems to be the only well - authenticated case on record , although E.   A. Barber[58 ] has described what may possibly have been a case of cremation like the one above noted :     A very singular case of aboriginal burial was brought to my notice    recently by Mr. William Klingbeil , of Philadelphia . 
As the cross is not a pagan but a Christian (which Long   Horse was not either by profession or practice) emblem, it was   probably placed there by the influence of some of his white friends.	As the cross is not a pagan but a Christian ( which Long    Horse was not either by profession or practice ) emblem , the influence of some of his white friends    probably placed there it . 
Different utensils and weapons are placed by his side, and in front a horse is slaughtered; the lodge is then closed up.	his side places Different utensils and weapons , and in front a horse is slaughtered ; the lodge is then closed   up . 
  Frequent mention is made by travelers of burial places where the   bodies lie exposed with their heads placed towards the north.	   travelers of burial places where the    bodies lie exposed with their heads placed towards the north make Frequent mention . 
A woman’s coffin may be known by the   kettles and other feminine utensils about it.	the    kettles and other feminine utensils about it may know A   woman ’s coffin . 
  This crying is done almost wholly by women, who gather in large   numbers on such occasions, and among them a few who are professional   mourners.	   women , who gather in large    numbers on such occasions do almost wholly This crying , and among they a few who are professional    mourners . 
All the sewing   up and burial process was conducted by the squaws, as the men would   not touch nor remain in proximity to a dead body.	the squaws conducted All the sewing    up and burial process , as the men would    not touch nor remain in proximity to a dead body . 
Those who mourn are always paid   for it in some way by the other friends of the deceased, and those   who mourn the longest are paid the most.	the other friends of the deceased always pay    for it in some way Those who mourn , and those    who mourn the longest are paid the most . 
This   cradle was securely fastened by strips of buffalo-hide to four poles   of ironwood and cottonwood, about twelve feet in length.	strips of buffalo - hide securely fastened This    cradle to four poles    of ironwood and cottonwood , about twelve feet in length . 
All were further adorned by spherical brass bells   attached all about the borders by strings of beads.	spherical brass bells further adorned All    attached all about the borders by strings of beads . 
As soon as the scaffold is   ready, the body is borne by the women, followed by the female   relatives, to the place of final deposit, and left prone in its   secure wrappings upon this airy bed of death.	As soon as the scaffold is    ready , the women , followed by the female    relatives , to the place of final deposit bear the body , and left prone in its    secure wrappings upon this airy bed of death . 
In this manner the skeletons of the   whole family were preserved from generation to generation by the   filial or parental affection of the living.	In this manner the    filial or parental affection of the living preserved from generation to generation the skeletons of the    whole family . 
  As a confirmed rite or ceremony, this mode of disposing of the dead has never been followed by any of our North American Indians, although occasionally the dead have been disposed of by sinking in springs or water-courses, by throwing into the sea, or by setting afloat in canoes.	   As a confirmed rite or ceremony , any of our North American Indians never has followed this mode of disposing of the dead , although occasionally the dead have been disposed of by sinking in springs or water - courses , by throwing into the sea , or by setting afloat in canoes . 
   I was told by the interpreter that he knew a woman who had been left   to mourn after this fashion for years, none of her husband’s family   calling for the badge or token of her grief.	    the interpreter that he knew a woman who had been left    to mourn after this fashion for years told me , none of her husband ’s family    calling for the badge or token of her grief . 
 Similar observances, according to Bancroft,[88] were followed by some of the Central American tribes of Indians, those of the Sambos and Mosquitos being as follows:    The widow was bound to supply the grave of her husband for a year,   after which she took up the bones and carried them with her for   another year, at last placing them upon the roof of her house, and   then only was she allowed to marry again.	some of the Central American tribes of Indians , those of the Sambos and Mosquitos being , according to Bancroft,[88 ] followed   Similar observances as follows :     The widow was bound to supply the grave of her husband for a year ,    after which she took up the bones and carried them with she for    another year , at last placing them upon the roof of her house , and    then only was she allowed to marry again . 
Poles are   planted at the head and the foot, upon which flags are placed; the   grave is then inclosed by pickets driven in the ground.	Poles are    planted at the head and the foot , upon which flags are placed ; pickets driven in the ground then inclose the    grave . 
 Improbable as this account may appear, it has nevertheless been credited by some of the wisest and most careful of ethnological writers, and its seeming appearance of romance disappears when the remembrance of similar ceremonies among Old World peoples comes to our minds.	  Improbable as this account may appear , some of the wisest and most careful of ethnological writers nevertheless has credited it , and its seeming appearance of romance disappears when the remembrance of similar ceremonies among Old World peoples comes to our minds . 
 An apparently well-authenticated case of attempted burial sacrifice is described by Miss A. J. Allen,[94] and refers to the Wascopums, of Oregon.	  Miss A. describes An apparently well - authenticated case of attempted burial sacrifice   J. Allen,[94 ] and refers to the Wascopums , of Oregon . 
The dead   were piled on each side, leaving a narrow aisle between, and on one   of these was placed the deceased boy; and, bound tightly till the   purple, quivering flesh puffed above the strong bark cords, that he   might die very soon, the living was placed by his side, his face to   his till the very lips met, and extending along limb to limb and   foot to foot, and nestled down into his couch of rottenness, to   impede his breathing as far as possible and smother his cries.	The dead    were piled on each side , leaving a narrow aisle between , and on one    of these was placed the deceased boy ; and , bound tightly till the    purple , quivering flesh puffed above the strong bark cords , that he    might die very soon , his side placed the living , his face to    his till the very lips met , and extending along limb to limb and    foot to foot , and nestled down into his couch of rottenness , to    impede his breathing as far as possible and smother his cries . 
 Ossuaries have not been used by savage nations alone, for the custom of exhuming the bones of the dead after a certain period, and collecting them in suitable receptacles, is well known to have been practiced in Italy, Switzerland, and France.	  savage nations alone not have used Ossuaries , for the custom of exhuming the bones of the dead after a certain period , and collecting them in suitable receptacles , is well known to have been practiced in Italy , Switzerland , and France . 
It is thus described by Morgan:[98]    An occasional and very singular figure was called the “dance for the   dead.”	Morgan:[98 thus describes It ]     An occasional and very singular figure was called the “ dance for the    dead . ” 
It was danced by the women   alone.	the women danced It    alone . 
   The five men were assisted by a semicircle of twenty women, who only   marked time by stepping up and down with short step.	    a semicircle of twenty women , assisted The five men who only    marked time by stepping up and down with short step . 
One of these graves was surmounted   by a cross, whilst upon another close to it a trunk of a tree was   raised, covered with hieroglyphics recording the number of enemies   slain by the tenant of the tomb and several of his tutelary   Manitous.	a cross surmounted    One of these graves , whilst upon another close to it a trunk of a tree was    raised , covered with hieroglyphics recording the number of enemies    slain by the tenant of the tomb and several of his tutelary    Manitous . 
The writer is informed by Mr. John Henry Boner that     the custom still prevails not only in Pennsylvania, but at the     Moravian settlement of Salem, N.C.]      [Footnote 71: Rep. Smithsonian Inst., 1866, p. 319.]      [Footnote 72: Uncivilized Races of the World, 1874, v. ii, p. 774,     _et seq.	Mr. John Henry Boner informs The writer that      the custom still prevails not only in Pennsylvania , but at the      Moravian settlement of Salem , N.C. ]       [ Footnote 71 : Rep. Smithsonian Inst . , 1866 , p. 319 . ]       [ Footnote 72 : Uncivilized Races of the World , 1874 , v. ii , p.   774 ,      _ et seq . 
The nose of this observer was brushed by the bouquet, yet she could never really pluck even a daisy.	the bouquet brushed The nose of this observer , yet she could never really pluck even a daisy . 
The pleasures they proposed were equalled only by those they declined, and they made their appointments often so expensively that she was left wondering at the nature of the delights to which the mere approaches were so paved with shillings.	only those they declined equalled The pleasures they proposed , and they made their appointments often so expensively that her was left wondering at the nature of the delights to which the mere approaches were so paved with shillings . 
 Our young lady could be reminded by such a remark that she usually struck her friend as pretty.	  such a remark that she usually struck her friend as pretty could remind Our young lady . 
Yet he was troubled by the suspicion of subtleties on his companion’s part that spoiled the straight view.	Yet the suspicion of subtleties on his companion ’s part that spoiled the straight view troubled him . 
“Cooper’s?”—the stare was heightened by a blush.	“ a blush heightened Cooper’s?”—the stare . 
“It was brought by a lady?”	“ a lady brought It ? ” 
A STATION WITHOUT A CAB  The arrangements for my meeting with Mr. Rassendyll had been carefully made by correspondence before he left England.	correspondence carefully had made A STATION WITHOUT A CAB   The arrangements for my meeting with Mr. Rassendyll before he left England . 
I was awakened by our noontide halt.	our noontide halt awakened me . 
 My meditations were interrupted by the arrival of the doctor.	  the arrival of the doctor interrupted My meditations . 
But his remarks--if he had meditated any--were interrupted by the clock striking seven.	But the clock -- if he had meditated any -- interrupted his remarks striking seven . 
There was nobody; the curtains were still; the king’s left hand caressed his beardless chin; the right was hidden from his visitor by the small table that stood between them.	There was nobody ; the curtains were still ; the king ’s left hand caressed his beardless chin ; the small table that stood between they hid from his visitor the right . 
But his precautions were interrupted by a hoarse, eager, low cry from outside, “Quick!	But a hoarse , eager , low cry from outside interrupted his precautions , “ Quick ! 
We had been buffeted by fate sorely, but now I feared yet another blow.	fate had buffeted us sorely , but now I feared yet another blow . 
He had been seen by somebody and taken for the king.	somebody had seen him and taken for the king . 
My wife had been prevailed on by Rudolf to lie down in her room for an hour.	Rudolf had prevailed on My wife to lie down in her room for an hour . 
He was interrupted by Rischenheim, who, looking round on the group of bystanders, now grown numerous, exclaimed: “What’s going on here, my dear chancellor?	Rischenheim , who , looking round on the group of bystanders , now grown numerous , interrupted him exclaimed : “ What ’s going on here , my dear chancellor ? 
Her thoughts, as I judged them, were bounded by the longing to see Mr. Rassendyll again, and dwelt on the visit that he promised as the horizon of hope.	the longing as I judged them , bounded Her thoughts , to see Mr. Rassendyll again , and dwelt on the visit that he promised as the horizon of hope . 
But I was puzzled by the queen’s tacit appeal.	But the queen ’s tacit appeal puzzled me . 
It was answered by an angry cry in a girl’s intonation.	an angry cry in a girl ’s intonation answered It . 
I was carried away by his enthusiasm and followed his lead.	his enthusiasm carried away me and followed his lead . 
Thus Sapt had forced Rudolf’s hand; he had been inspired by the same vision as we, and endowed with more unshrinking boldness.	Thus Sapt had forced Rudolf ’s hand ; the same vision as we had inspired him , and endowed with more unshrinking boldness . 
I was so charmed by it that I felt I would like to live in it—always and always—and never go outside of it again.	it so charmed me that I felt I would like to live in it — always and always — and never go outside of it again . 
Ah, well, it will be discovered again some day, by somebody else.	Ah , well , somebody else will discover again some day , it . 
The family was     broken up—by a herd of whales who chased us.	a herd of whales who chased us      broke up — The family . 
     “So next morning two fidgits were found by the keeper     floating on the top of the water in their tank, stiff     and dead.	      “ So next morning the keeper found two fidgits      floating on the top of the water in their tank , stiff      and dead . 
From this he was     rescued by a sailor with a boat-hook; and the last we     saw of him, the man in blue was dragging him away by     the coat-collar, lecturing him again.	From this a sailor with a boat - hook      rescued him ; and the last we      saw of he , the man in blue was dragging him away by      the coat - collar , lecturing him again . 
I would willingly if I could;     but he is hardly ever seen by ordinary fish.	I would willingly if I could ;      but ordinary fish hardly ever see him . 
And the solemn little silence that followed was broken by the Doctor.	And the Doctor broke the solemn little silence that followed . 
 While the Doctor was asking Big Teeth how he meant to defend the village against attack, a cry of alarm was raised by the look-outs.	  While the Doctor was asking Big Teeth how he meant to defend the village against attack , the look - outs raised a cry of alarm . 
Before a quarter of an hour had gone by our village was completely surrounded by one huge mob of yelling, raging Bag-jagderags.	one huge mob of yelling , completely surrounded Before a quarter of an hour had gone by our village raging Bag - jagderags . 
 THE ELECTION   WE were awakened by music.	  THE ELECTION    music awakened us . 
Our house was surrounded by the whole population of Popsipetel.	the whole population of Popsipetel surrounded Our house . 
Oh Kindly One, we are bidden by the united voices of the peoples of this land to carry you to the Whispering Rocks, that there, with all respect and majesty, you may be crowned our king—King of all the Moving Land.”	Oh Kindly One , the united voices of the peoples of this land bid us to carry you to the Whispering Rocks , that there , with all respect and majesty , you may be crowned our king — King of all the Moving Land . ” 
They were composed by the Court Poet; and this is a translation:   I  (_His Landing on The Island_)      Heaven-sent,     In his dolphin-drawn canoe     From worlds unknown     He landed on our shores.	the Court Poet composed them ; and this Heaven - sent , is a translation :    I   ( _ His Landing on The Island _ )            In his dolphin - drawn canoe      From worlds unknown      He landed on our shores . 
 The sad silence that followed was broken finally by a knock upon the door.	  a knock upon the door broke finally The sad silence that followed . 
And before he had done I was completely absorbed by the wonders of the Vegetable Kingdom which he had brought so far.	And before he had done the wonders of the Vegetable Kingdom which he had brought so far completely absorbed me . 
I was awakened by a gentle pecking on the nose.	a gentle pecking on the nose awakened me . 
A proclamation was published right away by the Town Crier that His Majesty was going into the country for a seven-day rest, but that during his absence the palace and the government offices would be kept open as usual.	the Town Crier published right away A proclamation that His Majesty was going into the country for a seven - day rest , but that during his absence the palace and the government offices would be kept open as usual . 
The _Lusitania_ had been struck by two torpedoes in succession and was sinking rapidly, while the boats were being launched with all possible speed.	two torpedoes had struck The _ Lusitania _ in succession and was sinking rapidly , while the boats were being launched with all possible speed . 
 He had been bound by an honourable promise not to open any such letters if they did arrive, but to repair to the National Gallery, where his colleague would meet him at ten o’clock.	  an honourable promise not to open any such letters if they did arrive had bound him , but to repair to the National Gallery , where his colleague would meet him at ten o’clock . 
It was drawn up ready for signature by the various representatives, and drawn up in America--at that time a neutral country.	the various representatives drew up ready for signature It , and drawn up in America -- at that time a neutral country . 
He is always spoken of by the unassuming title of ‘Mr. Brown.’	the unassuming title of ‘ Mr. Brown always speaks of him . ’ 
He was politely requested by his colleague not to be an ass.	his colleague politely requested him not to be an ass . 
 She was interrupted by a fresh bout of applause.	  a fresh bout of applause interrupted her . 
They were uttered by Boris and they were: “Mr. Brown.”	Boris uttered them and they were : “ Mr. Brown . ” 
But it was settled by the principal Labour leaders, and we cannot seem to interfere too much.	But the principal Labour leaders settled it , and we can not seem to interfere too much . 
It was now tenanted by a small lift-boy, who was polishing brass fittings, and whistling the latest air with a good deal of vigour and a reasonable amount of accuracy.	a small lift - boy , who was polishing brass fittings , and whistling the latest air with a good deal of vigour and a reasonable amount of accuracy now tenanted It . 
Her exquisite figure was enhanced by a wonderful gown of indigo charmeuse.	a wonderful gown of indigo charmeuse enhanced Her exquisite figure . 
 In the midst of a final desultory polishing of her silver, Tuppence was disturbed by the ringing of the front door bell, and went to answer it.	  In the midst of a final desultory polishing of her silver , the ringing of the front door bell disturbed Tuppence , and went to answer it . 
 The door was opened by an irreproachable butler.	  an irreproachable butler opened The door . 
“Remember, you yourself have once been worsted by him.”	“ Remember , he once has worsted you yourself . ” 
 “Mr. Beresford is commissioned by the British Government to get those papers back.	  “ the British Government commissions Mr. Beresford to get those papers back . 
He was impressed by little William.	little William impressed him . 
 Though not particularly enjoying the American’s free and easy manner of speech, Kramenin was devoured by curiosity.	  Though not particularly enjoying the American ’s free and easy manner of speech , curiosity devoured Kramenin . 
A brother of his was murdered by your people.	your people murdered A brother of his . 
 The front door was opened by the butler.	  the butler opened The front door . 
Either the chloral was administered by her own hand, which theory I reject utterly, or else----”  “Yes?”	Either her own hand , which theory I reject utterly , or else---- ” administered the chloral   “ Yes ? ” 
The house was surrounded by police who, if they failed to reappear, would not hesitate to break in and make a thorough search.	police who , if they failed to reappear , would not hesitate to break in and make a thorough search surrounded The house . 
Certain concessions were made by the Government, and were eagerly accepted.	the Government made Certain concessions , and were eagerly accepted . 
I was deeply impressed by the power and eloquence of the counsel for the defence.	the power and eloquence of the counsel for the defence deeply impressed me . 
 Nick was bewildered by the countless shifting gables and the throngs of people flowing onward like a stream, and stunned by the roar that seemed to boil out of the very ground.	  the countless shifting gables and the throngs of people flowing onward like a stream bewildered Nick , and stunned by the roar that seemed to boil out of the very ground . 
 The Thames was fairly hidden by the boats, and there was a grand state bark all trimmed with silk and velvet for the Queen to be in to see the pastime.	  the boats fairly hid The Thames , and there was a grand state bark all trimmed with silk and velvet for the Queen to be in to see the pastime . 
They were met by the yeomen of the guard, tall, brawny fellows clad in red, with golden roses on their breasts and backs, and with them marched up to the postern two and two, Master Gyles the last of all, as haughty as a Spanish don come courting fair Queen Bess.	the yeomen of the guard met them , tall , brawny fellows clad in red , with golden roses on their breasts and backs , and with they marched up to the postern two and two , Master Gyles the last of all , as haughty as a Spanish don come courting fair Queen Bess . 
Within the walls of the palace its clang was muffled by a sound of voices that rose and fell like the wind upon the sea.	Within the walls of the palace a sound of voices that rose and fell like the wind upon the sea muffled its clang . 
Immediately it was acclaimed by public press and pulpit as the greatest contribution ever made by the Stage to the cause of humanity.	Immediately public press and pulpit acclaimed it as the greatest contribution ever made by the Stage to the cause of humanity . 
  Brieux has been hailed by Bernard Shaw as “incomparably the greatest writer France has produced since Moliere,” and perhaps no writer ever wielded his pen more earnestly in the service of the race.	   Bernard Shaw has hailed Brieux as “ incomparably the greatest writer France has produced since Moliere , ” and perhaps no writer ever wielded his pen more earnestly in the service of the race . 
 Brieux paints in black colors yet is no fanatic; in fact, he will be criticised by many as being too tolerant of human weakness.	  Brieux paints in black colors yet is no fanatic ; in fact , many will criticise him as being too tolerant of human weakness . 
He had been warned by his father as to the dangers which young men encounter in their amours.	his father had warned him as to the dangers which young men encounter in their amours . 
 Thus he was always haunted by memories, some of which made him cheerful and some of which made him mildly sad.	  Thus memories , some of which made him cheerful and some of which made him mildly sad always haunted him . 
 George’s attention was caught by this last sentence.	  this last sentence caught George ’s attention . 
She was interrupted by a frenzied shriek from Henriette.	a frenzied shriek from Henriette interrupted her . 
Eight years ago the sleepy little university town of Berkeley was shocked by the murder of Professor Haskell in one of the laboratories of the Mining Building.	Eight years ago the murder of Professor Haskell in one of the laboratories of the Mining Building shocked the sleepy little university town of Berkeley . 
As I learned afterward, the Board of Prison Directors had been summoned by telegraph, and two companies of state militia were being rushed to the prison.	As I learned afterward , telegraph had summoned the Board of Prison Directors , and two companies of state militia were being rushed to the prison . 
Surely, he could not have been inconvenienced more than half an hour by that bleeding nose; and yet they are going to hang me for it.	Surely , that bleeding nose not could have inconvenienced more than half an hour him ; and yet they are going to hang me for it . 
Time was marked by the regular changing of the guards, and by the alternation of day and night.	the regular changing of the guards marked Time , and by the alternation of day and night . 
Continually these tappings were interrupted by the snarling of the guard.	Continually the snarling of the guard interrupted these tappings . 
 It may be thought by the layman that the worst has been done to men sentenced to solitary for life, and therefore that a mere guard has no way of compelling obedience to his order to cease tapping.	  the layman that the worst has been done to men sentenced to solitary for life may think It , and therefore that a mere guard has no way of compelling obedience to his order to cease tapping . 
Like any boy, I had been haunted by the other beings I had been at other times.	Like any boy , the other beings I had been at other times had haunted me . 
And of this little I was robbed by Hutchins, who, in the old days before he was made head trusty, had learned all the tricks of the jacket from the inside of the jacket.	And of this little Hutchins , who , in the old days before him was made head trusty , robbed me had learned all the tricks of the jacket from the inside of the jacket . 
